table,exact_rows
conveyor_runs,19
luminari_document_family_contracts,19
luminari_reviewed_source_overlay_v1,19
omnidirectional_node_types,19
conveyor_validation_log,18
upload_sessions,18
deliverable_files,17
escalation_registry,17
registry_entity_staging_shelters,17
advocacy_targets_v3_13,16
evidence_confidence_test_suite,16
advocacy_targets,15
cursors,15
doctrine_graph_edges,15
doctrine_registry,15
filing_generator,15
investigation_guidance,15
barrier_decision_tree,14
intake_sessions,14
knowledge_modules,14
canonical_reform_packages,13
case_intake_links,13
reform_packages,13
filing_templates,12
forms_registry,12
l_state_audit,12
legislator_contacts,12
lumensend_templates,12
luminari_resource_contact_resolutions,12
machine_outputs,12
omnidirectional_edge_types,12
strategy_claim_catalog,12
assembly_section_library,11
court_directory,11
luminari_reviewed_context_current_v1,11
luminari_reviewed_context_revision_v1,11
proof_frameworks,11
strategy_escalation_templates,11
substrate_promotion_batch,11
case_identity_bridge,10
cases,10
expansion_packs,10
interagency_referrals,10
knowledge_cross_refs,10
l4_feedback_log,10
l_layer_transition_rules,10
legal_aid_orgs,10
litigation_barriers,10
luminari_ingest_contract_checks,10
narrative_templates,10
remedy_templates,10
canonical_claim_catalog,9
confidence_factors,9
engine_runs,9
evidence_profiles,9
governance_signal_types,9
luminari_resource_publication_resolutions,9
luminari_resource_snapshot_v1,9
luminari_source_precedence_rules,9
namespace_activation_registry,9
signal_detector_run_log,9
business_baselines,8
canonical_room_registry,8
coalition_media,8
committee_registry,8
legal_definitions,8
machine_verification_requirements,8
pattern_registry,8
strategy_memory,8
universal_admin_failures,8
canonical_procedural_state_registry,7
civic_genome_edge,7
luminari_pipeline_implementation_tasks,7
missing_records,7
monolith_decomposition_map,7
paperwork_templates,7
pattern_signal_links,7
settlement_formulas,7
signal_promotion_log,7
spine_topology_edges,7
stabilization_snapshots,7
universal_harm_categories,7
universal_procedural_rights,7
chat_messages,6
conduit_events,6
dataset_registry,6
lenses,6
live_signals,6
strategy_generation_log,6
strategy_paths,6
workflow_definitions,6
workflow_master,6
canonical_signal_registry,5
civic_genome_node,5
civic_genome_rosetta_generation_activation_queue,5
constitutional_registry,5
enforcement_action_paths,5
enforcement_viability_rules,5
escalation_thresholds,5
governance_log,5
intake_routing_logic,5
legal_statute_clauses,5
legal_weak_joints,5
media_outlets,5
promotion_validation_rules,5
remedy_feasibility_rules,5
signals,5
spine_flow_metrics,5
state_labor_board_pathways,5
api_pull_run,4
api_source_registry,4
campaigns,4
contradiction_templates,4
docket_source_reference_date_receipt,4
invite_redemptions,4
legal_contradictions,4
luminari_continuous_ingest_sources,4
pipeline_map,4
registry_entity_staging_v1,4
signal_domain3_source_classification_v1,4
signal_domain_registry,4
state_labor_pathways,4
ui_contract_registry,4
activation_outputs,3
canonical_contradiction_registry,3
corpus_snapshots,3
data_snapshots,3
lighthouse_spotlight,3
routing_registry,3
spine_runtime_event_stream,3
state_directory_portability_promotion,3
threshold_profiles,3
trend_registry,3
trend_snapshots,3
active_campaigns,2
alpha_lake_exports,2
benefit_applications,2
canonical_pattern_registry,2
case_narratives,2
civic_map_checkpoints,2
coalition_intelligence,2
luminari_archive_bundles,2
luminari_corpus_atomic_run_v1,2
metadata_machines,2
package_registry,2
pattern_aggregation_runs,2
share_links,2
state_directory_review_hold,2
substrate_source_artifact,2
canonical_workflows,1
civic_genome_rosetta_generation_target,1
entry_runs,1
generated_sql_bundle_audit,1
intake_entry_run_links,1
intake_records,1
investigative_jobs,1
investigative_queries,1
jurisdictions,1
luminari_claim_intake_activation_v1,1
luminari_claim_intake_package_v1,1
luminari_fixture_extraction_runs,1
luminari_grant_award_activation_v1,1
luminari_grant_award_source_run_v1,1
omnidirectional_traversal_rulesets,1
pattern_engine_run_log,1
prime_patterns,1
procedures,1
registry_extraction_specs,1
registry_processing_checkpoints,1
remedy_paths,1
signal_detector_cursor,1
signal_flow_logs,1
source_records,1
state_directory_reassembly_run,1
strategy_engine_run_log,1
sunam_thresholds,1
trend_engine_run_log,1
users,1
world_nodes,1
action_steps,0
analysis_snapshots,0
atlas_lighthouse_deadline_bridge_v1,0
backbone_diff_logs,0
backbone_update_runs,0
batch_rerun_runs,0
bill_lineage_edge,0
burden_of_proof_rules,0
canonical_pathway_registry,0
case_collaborators,0
case_evidence,0
case_exit_guarantees,0
case_viability_context,0
cda_analysis_runs,0
cda_anomalies,0
cda_claim_ledger,0
cda_comparison_matrix,0
cda_contradictions,0
cda_correlations,0
cda_denial_reasons,0
cda_documents,0
cda_evidence_gaps,0
cda_features,0
cda_influence_paths,0
cda_policy_clauses,0
cda_quotes,0
cda_runs,0
cda_structural_breaks,0
cda_vectors,0
civic_genome_comparison_matrix,0
civic_genome_comparison_state_cell,0
civic_genome_momentum_component,0
civic_genome_projection_checkpoint,0
civic_genome_relationship,0
civic_genome_source_binding,0
claim_definitions,0
claim_element_evaluations,0
claims,0
code_exports,0
constitutional_violation_log,0
contradiction_records,0
convergence_receipts,0
convergence_run_snapshot,0
coordination_data,0
corpus_graph_candidate_edges,0
correlation_matches,0
cross_stream_correlations,0
database_fingerprint_log,0
deadlines,0
detected_signals_v2,0
determinism_checks,0
docket_entries,0
document_correlations,0
documentation_sections,0
eligibility_hints,0
entity_merge_suggestions,0
entity_roles,0
events,0
evidence_event_links,0
evidence_graph_edges,0
evidence_items,0
evidence_proof_links,0
evidence_sources,0
evidence_to_element_links,0
export_artifacts,0
export_runs,0
failure_modes,0
file_categories,0
file_contents,0
file_dependencies,0
foia_agencies,0
foia_requests,0
foia_statutes,0
gap_records,0
geocode_cache,0
geography_registry,0
governance_snapshots,0
installation_requirements,0
intake_promotion_log,0
intake_signals,0
intake_spine_execution_leases,0
intake_state_transitions,0
intake_verification_records,0
issue_reports,0
jurisdiction_aliases,0
jurisdiction_coverage_items,0
jurisdiction_coverage_runs,0
jurisdiction_metadata_gaps,0
jurisdiction_overlap_assertions,0
lighthouse_events,0
lighthouse_suggestion_votes,0
lighthouse_suggestions,0
live_stream_events,0
live_stream_sources,0
luminari_archive_file_manifest,0
luminari_canonical_id_registry,0
luminari_case_reviewed_intake_selection_event_v1,0
luminari_enforcement_channels,0
luminari_extraction_completeness_reports,0
luminari_extraction_provenance_spans,0
luminari_extraction_validation_failures,0
luminari_fixture_object_links,0
luminari_legal_authorities,0
luminari_object_publication_resolution_revision_v1,0
map_intake_sessions,0
normalized_records,0
notifications,0
omnidirectional_contradiction_clusters,0
omnidirectional_domain_packs,0
omnidirectional_graph_edges,0
omnidirectional_graph_health_snapshots,0
omnidirectional_graph_nodes,0
omnidirectional_graph_paths,0
omnidirectional_graph_snapshots,0
outcome_metrics,0
outcome_registry,0
pattern_confidence_factors,0
pattern_creation_thresholds,0
pattern_decay_rules,0
pattern_evolution,0
pattern_feedback_loop,0
pattern_links,0
pattern_metadata,0
pattern_occurrences,0
pattern_outputs,0
pattern_relationships,0
pattern_scope,0
pattern_types,0
pipeline_audit_logs,0
pipeline_intake_enrichments,0
pipeline_intelligence_map,0
policy_pattern_impacts,0
presentation_slides,0
presentations,0
priority_utility_snapshot,0
procedural_outputs,0
promotion_accounting,0
promotion_validation_log,0
provenance_alert_events,0
provenance_audit_logs,0
provenance_registry,0
