version	name	statements_md5	statement_count	executable_md5
20260417200705	048_provenance_backfill_existing_data	e66fcfed7195fa5b9d41b8dade5eef7e	1	e66fcfed7195fa5b9d41b8dade5eef7e
20260417201829	049_expand_resource_type_constraint	8c653bb9ad15537959dd16ec6b779620	1	8c653bb9ad15537959dd16ec6b779620
20260417202027	050_wa_resources_93_programs	c0602cda46304330ec408b1fba202d5b	1	c0602cda46304330ec408b1fba202d5b
20260418205605	052_store_deployment_planning_docs	706eaf65be2ee677c9d7a838aaceacbe	1	706eaf65be2ee677c9d7a838aaceacbe
20260501000000	provenance_schema	fb2b52ff7c934cf55dc6a7e50b60050c	1	f9fe8ed45a63975ce5bf48f764299b57
20260501202136	provenance_api_pull_sidecar	030f4217f42386db2f74de5a643e52f5	1	d6748d0919ff34dc2297103b66fb5efd
20260501203516	harden_api_pull_sidecar_rls	016c9f10f9a4d00600f03e92ac55ed18	1	016c9f10f9a4d00600f03e92ac55ed18
20260505074841	patch_create_atlas_signal_chain_use_md5_snapshot_hash	57674c4b6da3a44717990841e7b13783	1	e1c86df6846eb771f43e37c2122b8fc8
20260506171649	metadata_registry_form_signal_and_cda_v2	df4c7019d2da16e127b8d5c94eaa268a	1	df4c7019d2da16e127b8d5c94eaa268a
20260509001402	phase1_rls_hardening_lighthouse_retry	bb3b4546c4257014a49a8cef5dea77e0	1	41308aa89813f265f2dbf714a8345ab0
20260511000000	operational_core_health_views	8fa91b0e67808bc730e886510a670ae0	1	424a5effb173cf42aa3951a54faf2465
20260511000001	operational_core_namespace_activation	7c798ebd2bacf84032ace3a62f97bd0b	4	0fb59df5520a4e6eb132debf9ffd4865
20260511000002	operational_core_runtime_views	ac4a6123ee17f9c0c9ba14652a7037b1	1	602778e30ac49ea460da06fc5e26a250
20260512111921	fix_runtime_schema_drift_and_missing_policy_table	7385ca7d6eec291ebade68c6ea96965c	1	2e20608d3badc904bb659bae60a8619c
20260513200122	add_analysis_snapshots_table	208fa12f15726822e8df0ea2f23179b0	1	b384fe91ec86f2338d6d23055fee7805
20260513200136	add_assertion_atoms_compatibility_view	cf445df3da67240166927ad737f9ea75	1	2b2863c904baccd6dd73a83beeda41e5
20260513200250	fix_governing_authorities_compatibility_view	b35feafe3cc54edfe240be1fc1a34570	1	28d8a5b1deaf2e50e05834e65f268040
20260515195125	canonical_spine_substrate_foundation_v2	2f98f809e8e36193cda26b9b1dc1a2cf	1	006e8ea0e19fe65fa0cee2a9605b6293
20260516060214	spine_runtime_views_foundation	725516a321398aa0a27bdef4c499fad5	1	725516a321398aa0a27bdef4c499fad5
20260516061043	spine_runtime_seed_foundation	5cbb3395d1bb61ea14a9295f706ab8c2	1	5dd2812de56f4e973667ac83414f3bbe
20260516061135	spine_runtime_signal_flow_seed	93e98073cdfcb8dcb692e82686163aa0	1	5b264488fbcac70c2367d53b83b34e32
20260516061915	spine_runtime_continuity_views	4a693ef25ada709a01e505424c1bf885	1	2115817d21eb5b6f79a97b882da0e91e
20260516062013	spine_runtime_event_streams	4ec2083f29e4de050ad5610be6f0de25	1	6c91a02ab6e624a7973ba923f62c0140
20260516062049	spine_runtime_flow_metrics	6caa57056306a3db4ff8e683e63a3ece	1	bb51d058713ac784526a5ae8b417d9dd
20260516062221	spine_runtime_topology_edges	5cf4e67806cf0468d7ad2c4a71b03cbe	1	99b0f2a1882cce5e3f89d4fd4100835a
20260516063117	legal_library_grounded_expansion_views_v4	6c7b42e71d68aa2d1025a5f0e3f2045f	1	582cdd0e3061fac7e74c501241ca654b
20260516064719	legal_library_runtime_pagination_views_v2	1cec5eb0917b2a80b8234ca46cc8d98c	1	d117eecb09916a52ce518787ee2d97d9
20260516071114	runtime_projection_contracts_stabilization	5846eca378a24056151f30997f6b4151	1	af700fbf4eab59ed2943e69637e41953
20260516072055	runtime_projection_expansion_phase_three	ac36f23bb5d4abd0818381782410676a	1	4148c1d6a95f2e4cedf45d8d53dae027
20260516095820	civic_map_runtime_v2_convergence	dd6c1b377719180ed6a225ac2a029388	1	1cdae8137a0358ec0cfe4406f0b7bf91
20260516115041	national_civicmap_runtime_activation	018823b4cfaebf922d1825fe0fc4c664	1	8f11b0fdf715d8149603e5e2ebb853dd
20260517000000	civicmap_v2_loader_note	679c2d84e503b412631de0039ba1eb18	1	8ecbb449245b07d2ffc02855e75d545d
20260517141106	unified_civic_infrastructure_projection_v1	4f06203bcd507e1fa0064f04bce72fcc	1	63bde7fd286f8fba236021e4d425573d
20260517141117	unified_civic_infrastructure_projection_v1	4f06203bcd507e1fa0064f04bce72fcc	1	63bde7fd286f8fba236021e4d425573d
20260525202830	registry_entity_staging_v1	d7ef01ab3383b81be6bf6d4b4b5975c4	1	665f6bc658795b733337d69dd1f9660d
20260525213816	add_promotion_ready_columns_and_tables	15ce51a86226dd2055f6a2ceb0b44bf9	1	15ce51a86226dd2055f6a2ceb0b44bf9
20260525224224	create_type_specific_staging_tables	28019a3ca2f451c7af2a4aa611d9676b	1	28019a3ca2f451c7af2a4aa611d9676b
20260525232050	create_granular_resource_tables_and_archive	30522a5138995d21c138fd1b261f83e9	1	30522a5138995d21c138fd1b261f83e9
20260525232233	create_immutable_raw_archive_and_granular_output_tables	6345172cd9f28376083c293e8ef13a0d	1	6345172cd9f28376083c293e8ef13a0d
20260526055157	luminari_extraction_governance_foundation	4a9bcc2bf9ed48f7f836fa2056930974	1	7086a8f1e0f84d7d993614cc160ada86
20260526055336	luminari_table_classification_pass_2	b766e0d9f2e82fda972cf59934a9351f	1	16ac3efe9a644d14cc882524d3a25cd6
20260526055607	luminari_resource_legal_canonical_targets	7542d445810e9db01a6a8d0c3033aa85	1	81192af78df95768c75178b0824ae7c6
20260526060031	luminari_dry_run_reports_and_fixture_sets_recovery	c7578475d86576e152c2a810f5551f63	1	46e2b08dc2f82d3b8188c420bf99b9a5
